experimento,arquivo_tsp,melhor_distancia,tempo_execucao_s,geracoes_executadas,n_individuos,max_geracoes,taxa_mutacao,paciencia_convergencia,inicializacao,crossover,mutacao,criterio_parada
criterio_parada,tsp_4.csv,179.0425470263409,1.0107271671295166,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
criterio_parada,tsp_4.csv,179.0425470263409,0.13091206550598145,66,100,500,0.05,50,aleatoria,ordenado,inversao,convergencia
taxa_mutacao,tsp_5.csv,196.9736291555323,1.0195202827453613,500,100,500,0.01,50,aleatoria,ordenado,inversao,geracoes
taxa_mutacao,tsp_5.csv,196.9736291555323,1.0309820175170898,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
taxa_mutacao,tsp_5.csv,197.3002901981876,1.0529258251190186,500,100,500,0.15,50,aleatoria,ordenado,inversao,geracoes
inicializacao,tsp_5.csv,196.97362915553228,1.0399839878082275,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
inicializacao,tsp_5.csv,196.97362915553228,1.0262627601623535,500,100,500,0.05,50,heuristica,ordenado,inversao,geracoes
crossover,tsp_5.csv,196.97362915553228,1.032174825668335,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
crossover,tsp_5.csv,196.9736291555323,0.9722228050231934,500,100,500,0.05,50,aleatoria,pmx,inversao,geracoes
mutacao,tsp_5.csv,196.9736291555323,1.0317895412445068,500,100,500,0.05,50,aleatoria,ordenado,troca,geracoes
mutacao,tsp_5.csv,196.9736291555323,1.0268454551696777,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
criterio_parada,tsp_5.csv,196.9736291555323,1.0232353210449219,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
criterio_parada,tsp_5.csv,196.9736291555323,0.16611957550048828,81,100,500,0.05,50,aleatoria,ordenado,inversao,convergencia
taxa_mutacao,tsp_6.csv,187.7200167882818,1.0745432376861572,500,100,500,0.01,50,aleatoria,ordenado,inversao,geracoes
taxa_mutacao,tsp_6.csv,186.04447486265806,1.08235764503479,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
taxa_mutacao,tsp_6.csv,186.04447486265806,1.0910758972167969,500,100,500,0.15,50,aleatoria,ordenado,inversao,geracoes
inicializacao,tsp_6.csv,186.04447486265806,1.0734279155731201,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
inicializacao,tsp_6.csv,186.04447486265806,1.0761990547180176,500,100,500,0.05,50,heuristica,ordenado,inversao,geracoes
crossover,tsp_6.csv,186.0444748626581,1.0863800048828125,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
crossover,tsp_6.csv,186.17362814974797,0.9868648052215576,500,100,500,0.05,50,aleatoria,pmx,inversao,geracoes
mutacao,tsp_6.csv,189.89544600485462,1.100618600845337,500,100,500,0.05,50,aleatoria,ordenado,troca,geracoes
mutacao,tsp_6.csv,186.04447486265806,1.0899100303649902,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
criterio_parada,tsp_6.csv,186.04447486265806,1.0885405540466309,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
criterio_parada,tsp_6.csv,186.04447486265806,0.2899508476257324,130,100,500,0.05,50,aleatoria,ordenado,inversao,convergencia
taxa_mutacao,tsp_7.csv,198.58277178482854,1.1492254734039307,500,100,500,0.01,50,aleatoria,ordenado,inversao,geracoes
taxa_mutacao,tsp_7.csv,202.4704572225836,1.1357641220092773,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
taxa_mutacao,tsp_7.csv,197.05471117438415,1.1507298946380615,500,100,500,0.15,50,aleatoria,ordenado,inversao,geracoes
inicializacao,tsp_7.csv,205.55020377092038,1.1371383666992188,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
inicializacao,tsp_7.csv,197.05471117438418,1.135371208190918,500,100,500,0.05,50,heuristica,ordenado,inversao,geracoes
crossover,tsp_7.csv,197.4385610629106,1.1360621452331543,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
crossover,tsp_7.csv,200.26630801656907,1.0249524116516113,500,100,500,0.05,50,aleatoria,pmx,inversao,geracoes
mutacao,tsp_7.csv,207.095166443208,1.1328816413879395,500,100,500,0.05,50,aleatoria,ordenado,troca,geracoes
mutacao,tsp_7.csv,197.05471117438418,1.1328215599060059,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
criterio_parada,tsp_7.csv,197.43856106291057,1.1384730339050293,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
criterio_parada,tsp_7.csv,201.410518738487,0.28429460525512695,126,100,500,0.05,50,aleatoria,ordenado,inversao,convergencia
taxa_mutacao,tsp_8.csv,182.26521395319938,1.165879249572754,500,100,500,0.01,50,aleatoria,ordenado,inversao,geracoes
taxa_mutacao,tsp_8.csv,182.26521395319938,1.1791048049926758,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
taxa_mutacao,tsp_8.csv,183.1568039829033,1.2081923484802246,500,100,500,0.15,50,aleatoria,ordenado,inversao,geracoes
inicializacao,tsp_8.csv,184.2046597176154,1.2038986682891846,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
inicializacao,tsp_8.csv,182.26521395319938,1.176887035369873,500,100,500,0.05,50,heuristica,ordenado,inversao,geracoes
